country,country_abbr,currency,name,gender,bill_count,profession,known_for_being_first,value,prop_total_bills,first_appearance_year,death_year,comments,hover_text,has_portrait,id
Argentina,ARS,Argentinian Peso,Eva Perón,F,1,Activist,No,100,NA,2012,1952,,,TRUE,ARS_Evita
Argentina,ARS,Argentinian Peso,Julio Argentino Roca,M,1,Head of Gov't,No,100,NA,1988,1914,,,TRUE,ARS_Argentino
Argentina,ARS,Argentinian Peso,Domingo Faustino Sarmiento,M,1,Head of Gov't,No,50,NA,1999,1888,,,TRUE,ARS_Domingo
Argentina,ARS,Argentinian Peso,Juan Manuel de Rosas,M,1,Politician,No,20,NA,1992,1877,,,TRUE,ARS_Rosas
Argentina,ARS,Argentinian Peso,Manuel Belgrano,M,1,Founder,Yes,10,NA,1970,1820,Came up with the first Argentine flag.,Designed first Argentine flag,TRUE,ARS_Belgrano
Australia,AUD,Australian Dollar,David Unaipon,M,0.5,STEM,Yes,50,0.48,1995,1967,"Shares with another person. In 1927 when his book of Aboriginal legends, Hurgarrda was published, he became the first Australian Aboriginal writer to be published.",First Australian Aboriginal writer to be published,TRUE,AUD_Unaipon
Australia,AUD,Australian Dollar,Mary Gilmore,F,0.5,Writer,Yes,10,0.08,1993,1962,Shares with another person. She became the first person to be appointed Dame Commander of the British Empire for contributions to literature.,First person appointed Dame Commander of the British Empire for contributions to literature,TRUE,AUD_Gilmore
Australia,AUD,Australian Dollar,Reverend John Flynn,M,0.5,Religious figure,Yes,20,0.1,1994,1951,"Shares with another person. Founded Royal Flying Doctor Service, the world's first air ambulance.","Founded Royal Flying Doctor Service, the world's first air ambulance",TRUE,AUD_Flynn
Australia,AUD,Australian Dollar,Banjo Paterson,M,0.5,Writer,No,10,0.08,1993,1941,Shares with another person,,TRUE,AUD_Banjo
Australia,AUD,Australian Dollar,Edith Cowan,F,0.5,Politician,Yes,50,0.48,1995,1932,Shares with another person. She is best known as the first Australian woman to serve as a member of parliament.,First Australian woman to serve as a member of Parliament,TRUE,AUD_Edith
Australia,AUD,Australian Dollar,Nellie Melba,F,0.5,Musician,Yes,100,0.22,1996,1931,Shares with another person. The first Australian to achieve international recognition as a classical musician.,First Australian to achieve international recognition as a classical musician.,TRUE,AUD_Nellie
Australia,AUD,Australian Dollar,Sir John Monash,M,0.5,Military,No,100,0.22,1996,1931,Shares with another person,,TRUE,AUD_Monash
Australia,AUD,Australian Dollar,Mary Reibey,F,0.5,Other,No,20,0.1,1994,1855,Shares with another person. businessperson,,TRUE,AUD_Reibey
Australia,AUD,Australian Dollar,Queen Elizabeth II,F,1,Monarch,No,5,0.11,1961,2022,,,TRUE,AUD_Elizabeth
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,20,NA,1972,1975,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,TRUE,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,1000,NA,1972,1975,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,TRUE,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,500,NA,1972,1975,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,TRUE,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,200,NA,1972,1975,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,TRUE,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,100,NA,1972,1975,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,TRUE,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,50,NA,1972,1975,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,TRUE,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,10,NA,1972,1975,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,TRUE,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,5,NA,1972,1975,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,TRUE,BDT_Rahman
Bangladesh,BDT,Taka,Bangabandhu Sheikh Mujibur Rahman,M,1,Founder,Yes,2,NA,1972,1975,Founder of Bangladesh who served as the first President and later as the Prime Minister of Bangladesh,First President of Bangladesh,TRUE,BDT_Rahman
Bolivia,BOB,Boliviano,Bruno Racua,M,0.33,Military,No,50,NA,2018,1932,,,FALSE,BOB_Bruno
Bolivia,BOB,Boliviano,Pablo Zárate Willka,M,0.33,Revolutionary,No,50,NA,2018,1905,,,FALSE,BOB_Zarate
Bolivia,BOB,Boliviano,Apiaguaiki Tüpa,M,0.33,Revolutionary,No,10,NA,2018,1892,,,FALSE,BOB_Tupa
